,Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
20,21,VAFB,Jason-3,553 kg,LEO,NASA,"Success
",F9 v1.1,Failure,17-Jan-16,18:42
21,22,Cape Canaveral,SES-9,"5,271 kg",GTO,SES,"Success
",F9 FT,Failure,4-Mar-16,23:35
22,23,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,NASA,Success,F9 FT,Success,8-Apr-16,20:43
23,24,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,6-May-16,5:21
24,25,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,Thaicom,"Success
",F9 FT,Success,27-May-16,21:39
25,26,Cape Canaveral,ABS-2A,"3,600 kg",GTO,ABS,"Success
",F9 FT,Failure,15-Jun-16,14:29
26,27,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,NASA,"Success
",F9 FT,Success,18-Jul-16,4:45
27,28,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,14-Aug-16,5:26
28,29,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",F9 FT,Success,14-Jan-17,17:54
29,30,KSC,SpaceX CRS-10,"2,490 kg",LEO,NASA,"Success
",F9 FT,Success,19-Feb-17,14:39
30,31,KSC,EchoStar 23,"5,600 kg",GTO,EchoStar,"Success
",F9 FT,No attempt,16-Mar-17,6:00
31,32,KSC,SES-10,"5,300 kg",GTO,SES,Success,F9 FT♺,Success,30-Mar-17,22:27
32,33,KSC,NROL-76,C,LEO,NRO,"Success
",F9 FT,Success,1-May-17,11:15
33,34,KSC,Inmarsat-5 F4,"6,070 kg",GTO,Inmarsat,"Success
",F9 FT,No attempt,15-May-17,23:21
34,35,KSC,SpaceX CRS-11,"2,708 kg",LEO,NASA,"Success
",F9 FT,Success,3-Jun-17,21:07
35,36,KSC,BulgariaSat-1,"3,669 kg",GTO,Bulsatcom,"Success
",F9 FTB1029.2,Success,23-Jun-17,19:10
36,37,VAFB,Iridium NEXT,"9,600 kg",LEO,Iridium Communications,"Success
",F9 FT,Success,25-Jun-17,20:25
37,38,KSC,Intelsat 35e,"6,761 kg",GTO,Intelsat,"Success
",F9 FT,No attempt,5-Jul-17,23:38
38,39,KSC,SpaceX CRS-12,"3,310 kg",LEO,NASA,"Success
",F9 B4,Success,14-Aug-17,16:31
39,40,VAFB,Formosat-5,475 kg,SSO,NSPO,"Success
",F9 FT,Success,24-Aug-17,18:51
40,41,KSC,Boeing X-37B,"4,990 kg",LEO,USAF,"Success
",F9 B4,Success,7-Sep-17,14:00
41,42,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",F9 B4,Success,9-Oct-17,12:37
42,43,KSC,SES-11,"5,200 kg",GTO,SES S.A.,"Success
",F9 FTB1031.2,Success,11-Oct-17,22:53:00
43,44,KSC,Koreasat 5A,"3,500 kg",GTO,KT Corporation,"Success
",F9 B4,Success,30-Oct-17,19:34
44,45,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,NASA,"Success
",F9 FTB1035.2,Success,15-Dec-17,15:36
45,46,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,F9 FTB1036.2,Controlled,23-Dec-17,1:27
46,47,CCAFS,Zuma,C,LEO,Northrop Grumman,Success,F9 B4,Success,8-Jan-18,1:00
47,48,CCAFS,GovSat-1,"4,230 kg",GTO,SES,Success,F9 FTB1032.2,Controlled,31-Jan-18,21:25
48,49,VAFB,Paz,"2,150 kg",SSO,Hisdesat,Success,F9 FTB1038.2,No attempt,22-Feb-18,14:17
49,50,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,Hispasat,Success,F9 B4,No attempt,6-Mar-18,5:33
50,51,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,F9 B4B1041.2,No attempt,30-Mar-18,14:14
51,52,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,NASA,Success,F9 B4B1039.2,No attempt,2-Apr-18,20:30
52,53,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,NASA,Success,F9 B4,Success,18-Apr-18,22:51
53,54,KSC,Bangabandhu-1,"3,600 kg",GTO,Thales-Alenia,Success,F9 B5B1046.1,Success,11-May-18,20:14
54,55,VAFB,Iridium NEXT,"6,460 kg",Polar,Iridium Communications,Success,F9 B4B1043.2,No attempt,22-May-18,19:47
55,56,CCAFS,SES-12,"5,384 kg",GTO,SES,Success,F9 B4B1040.2,No attempt,4-Jun-18,4:45
56,57,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,NASA,Success,F9 B4B1045.2,No attempt,29-Jun-18,9:42
57,58,CCAFS,Telstar 19V,"7,075 kg",GTO,Telesat,Success,F9 B5,Success,22-Jul-18,5:50
58,59,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,F9 B5B1048,Success,25-Jul-18,11:39
59,60,CCAFS,Merah Putih,"5,800 kg",GTO,Telkom Indonesia,Success,F9 B5B1046.2,Success,7-Aug-18,5:18
60,61,CCAFS,Telstar 18V,"7,060 kg",GTO,Telesat,Success,F9 B5,Success,10-Sep-18,4:45
61,62,VAFB,SAOCOM 1A,"3,000 kg",SSO,CONAE,Success,F9 B5B1048.2,Success,8-Oct-18,2:22
62,63,KSC,Es'hail 2,"5,300 kg",GTO,Es'hailSat,Success,F9 B5B1047.2,Success,15-Nov-18,20:46
63,64,VAFB,SSO-A,"~4,000 kg",SSO,Spaceflight Industries,Success,F9 B5B1046.3,Success,3-Dec-18,18:34:05
64,65,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,NASA,"Success
",F9 B5,Failure,5-Dec-18,18:16
65,66,CCAFS,GPS III,"4,400 kg",MEO,USAF,Success,F9 B5,No attempt,23-Dec-18,13:51
66,67,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",F9 B5B1049.2,Success,11-Jan-19,15:31
67,68,CCAFS,Nusantara Satu,"4,850 kg",GTO,PSN,"Success
",F9 B5B1048.3,Success,22-Feb-19,1:45
68,69,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,"Success
",F9 B5[268],Success,2-Mar-19,7:49
69,70,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,NASA,"Success
",F9 B5,Success,4-May-19,6:48
70,71,CCAFS,Starlink,"13,620 kg",LEO,SpaceX,"Success
",F9 B5B1049.3,Success,24-May-19,2:30
71,72,VAFB,RADARSAT Constellation,"4,200 kg",SSO,Canadian Space Agency,"Success
",F9 B5B1051.2,Success,12-Jun-19,14:17
72,73,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,NASA,"Success
",F9 B5B1056.2,Success,25-Jul-19,22:01
73,74,CCAFS,AMOS-17,"6,500 kg",GTO,Spacecom,"Success
",F9 B5B1047.3,No attempt,6-Aug-19,23:23
74,75,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,11-Nov-19,14:56
75,76,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,NASA,"Success
",F9 B5,Success,5-Dec-19,17:29
76,77,CCAFS,JCSat-18,"6,956 kg",GTO,Sky Perfect JSAT,"Success
",F9 B5B1056.3,Success,17-Dec-19,0:10
77,78,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,7-Jan-20,2:19:21
78,79,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,NASA,"Success
",F9 B5,"No attempt
",19-Jan-20,15:30
79,80,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,29-Jan-20,14:07
80,81,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Failure,17-Feb-20,15:05
81,82,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,NASA,"Success
",F9 B5,Success,7-Mar-20,4:50
82,83,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Failure,18-Mar-20,12:16
83,84,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,22-Apr-20,19:30
84,85,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,NASA,"Success
",F9 B5,Success,30-May-20,19:22
85,86,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,4-Jun-20,1:25
86,87,CCAFS,Starlink,"15,410 kg",LEO,SpaceX,"Success
",F9 B5,Success,13-Jun-20,9:21
87,88,CCAFS,GPS III,"4,311 kg",MEO,U.S. Space Force,"Success
",F9 B5,Success,30-Jun-20,20:10:46
88,89,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,Republic of Korea Army,"Success
",F9 B5B1058.2,Success,20-Jul-20,21:30
89,90,KSC,Starlink,"14,932 kg",LEO,SpaceX,"Success
",F9 B5,Success,7-Aug-20,5:12
90,91,CCAFS,Starlink,"~15,440 kg",LEO,SpaceX,"Success
",F9 B5B1049.6,Success,18-Aug-20,14:31
91,92,CCAFS,SAOCOM 1B,"3,130 kg",SSO,CONAE,"Success
",F9 B5,Success,30-Aug-20,23:18
92,93,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.2,Success,3-Sep-20,12:46:14
93,94,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1058.3,Success,6-Oct-20,11:29:34
94,95,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1051.6,Success,18-Oct-20,12:25:57
95,96,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,24-Oct-20,15:31:34
96,97,CCAFS,GPS III,"4,311 kg",MEO,USSF,"Success
",F9 B5,Success,5-Nov-20,23:24:23
97,98,KSC,Crew-1,"~12,500 kg",LEO,NASA,"Success
",F9 B5,Success,16-Nov-20,0:27
98,99,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,"Success
",F9 B5,Success,21-Nov-20,17:17:08
99,100,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,25-Nov-20,2:13
100,101,KSC,SpaceX CRS-21,"2,972 kg",LEO,NASA,"Success
",F9 B5 ♺,Success,6-Dec-20,16:17:08
101,102,CCSFS,SXM-7,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5 ♺,Success,13-Dec-20,17:30:00
102,103,KSC,NROL-108,C,LEO,NRO,"Success
",F9 B5 ♺,Success,19-Dec-20,14:00:00
103,104,CCSFS,Türksat 5A,"3,500 kg",GTO,Türksat,"Success
",F9 B5,Success,8-Jan-21,2:15
104,105,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1051.8,Success,20-Jan-21,13:02
105,106,CCSFS,Transporter-1,"~5,000 kg",SSO,Various,"Success
",F9 B5B1058.5,Success,24-Jan-21,15:00
106,107,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,4-Feb-21,6:19
107,108,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Failure,16-Feb-21,3:59:37
108,109,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,4-Mar-21,8:24
109,110,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,11-Mar-21,8:13:29
110,111,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,14-Mar-21,10:01
111,112,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.6,Success,24-Mar-21,8:28
112,113,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,7-Apr-21,16:34
113,114,KSC,Crew-2,"~13,000 kg",LEO,NASA,"Success
",F9 B5B1061.2,Success,23-Apr-21,9:49
114,115,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.7,Success,29-Apr-21,3:44
115,116,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1049.9,Success,4-May-21,19:01
116,117,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1051.10,Success,9-May-21,6:42
117,118,KSC,Starlink,"~14,000 kg",LEO,SpaceX,"Success
",F9 B5B1058.8,Success,15-May-21,22:56
118,119,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1063.2,Success,26-May-21,18:59
119,120,KSC,SpaceX CRS-22,"3,328 kg",LEO,NASA,"Success
",F9 B5B1067.1,Success,3-Jun-21,17:29
120,121,CCSFS,SXM-8,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,Success,6-Jun-21,4:26
